職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
軟體研發工程師,歐德堡股份有限公司,1~3人,"軟體工程師
、Internet程式設計師
、系統分析師","月薪42,000元以上",軟體程式設計、軟體工程系統開發、系統架構規劃、資料庫程式設計、模組化系統設計、結構化程式設計、伺服器網站管理維護、規劃與管理防火牆、資料備份與復原、資訊設備環境設定、網路設備設定安裝、資料庫軟體應用,大學,台北市中正區,1年,"本公司專案部門多年來主要承接GIS、BIM相關資訊整合技術之專案工作，
近年跨足智慧工廠領域，將多種格式之3D模型、不同來源物件資訊進行資訊整合開發，

以下為相關技術、領域之關鍵字，希望提供求職人員清楚瞭解本公司需求、可能的業務方向：
智慧城市平台、BIM、3D GIS、工程、都市計畫、工務相關、防災整合、EMS
智慧工廠、智慧製造、工業4.0、AI人工智慧、schneider施耐德、AVEVA劍維、IT/OT
淨零、碳計算、碳交易、碳盤查、碳中和、缺工、逆向工程

為了擴展公司業務，擴大人員編制，主要任務有：
1.針對客戶需求開發客制化系統。
2.GIS應用產品研發。
3.影像辨識應用產品研發。
4.機器學習演算法研究。
5.開發 AR 相關應用 APP (iOS & Android)

需求程式開發人員人格特點：
1. 邏輯清楚，良好的物件導向觀念
2. 工作態度積極，具快速學習能力。
3. 可獨立或與團隊成員合作，並具備良好的溝通與傾聽技巧。

所以我們歡迎願意學習、不設限自我的Junior工程師；
也非常歡迎已經工作多年、經驗豐富，希望尋找良好工作環境的Senior工程師~
薪資空間有很大的彈性可以討論，希望尋找有共識的人一起加入團隊!!
4. 不斷改進與追求更好的工作效率
5. 耐心與細心兼具，勇於挑戰並享受解決問題的樂趣。

誠摯的邀請您加入我們的團隊!!"
【EMV產品研發部】- Java工程師/技術主任/技術經理（依能力任用職級）,網威智慧科技股份有限公司,1~2人,"軟體工程師
、系統分析師
、軟體專案主管",待遇面議,不拘,高中,台北市內湖區,2年,"【工作內容】
1. 閱讀國際組織規格，參與產品的功能規劃、需求分析設計，並進行系統的開發
2. 規劃產品系統架構及設計模塊，並控管產品開發進度
3. 與團隊合作，並主動發現解決問題
4. 研發應用軟體新技術與新工具, 持續提升程式代碼質量, 及投入創新技術和解決方案
5. 解決其他實施團隊遇到的產品問題

【專業技能】上，需要：
1. 熟悉Java與SpringBoot
2. 熟悉至少一種RDBMS (PostgreSQL、MySQL、Oracle)

【加分】
1. 壓力測試(Jmeter)與效能調校經驗
2. 有金融或支付產業相關經驗
3. 使用過VueJS或者其他前端框架
4. 有分散式服務開發經驗

網際威信集團 - 最值得信賴的金融科技(FinTech，AI大數據)，持卡人線上交易認證（EMV 3DS)、 專利的AI 數位身份驗證( Veri-id)、無密碼登入驗證（Veri Fido)、信用卡安全電子支付、電子金融系統及資料安全之專業軟體及服務提供商。本集團的軟體及服務通過國際組織認證，軟體授權銷售及雲端軟體訂閱服務，已將產品及服務銷售到全球各地並正在快速擴大客戶群，是台灣少數能把自有軟體銷售到全世界的公司之一，集團自1998年成立已來，持續獲利，資金充足，歡迎加入本集團，讓您的技能發光發熱到全世界。www.hitrust.com

HiTRUST Group was founded in Taipei in 1998 and has since expanded its business globally. With a track record of consistent profitability and strong financial stability, the company now has over 400 employees worldwide.
As a leading provider of AI-driven online fraud prevention solutions, HiTRUST serves banks, eCommerce platforms, and enterprises across the globe. Our client base includes all major banks in Greater China area, along with numerous financial institutions, payment service providers, and online merchants in Southeast Asia, Australia, the U.S., Europe, the Middle East, and beyond—totaling over 18,000 clients.
In an era of rising cyber threats, every organization requires robust security tools to combat fraud. Join us in leveraging your expertise to help businesses and individuals worldwide stay protected."
電控課長,旭禾精密有限公司,1人,"其他工程研發主管
、軟體工程師","月薪60,000~75,000元",不拘,專科,台南市新市區,1年,"1.人機介面、PLC撰寫開發(三菱Q系列 或 iQ-R系列)。
2.設備電路圖開發(CAD)，與電控開BOM選型建置。
3.伺服馬達驅動調適、電控元件參數設定、自動化設備試機。
4.能配合國內外出差、及客戶端交機試俥。
5.具自動控制系統專案規劃經驗者佳。"
資安工程師,晁碁科技股份有限公司,1~2人,"資安工程師
、網路安全分析師
、軟體工程師",待遇面議,不拘,大學,台北市南港區,3年,"工作內容：
1. 熟悉伺服器系統架構，包括存取控制與漏洞管理。
2. 管理網路安全，部署與管理資安工具透過漏洞掃描、滲透測試及安全編碼實踐，評估並改進應用安全
3. 監督資料儲存與存取安全，確保加密、備份及復原機制的有效實施。
4. 監控系統日誌與安全警報，並及時回應潛在安全事件。
5. 與研發團隊合作，在開發與部署流程中落實資訊安全。
6. 了解最新的資安威脅並提供強化建議。
7. 熟悉 ISO 27001/ ISO 42001 資安標準。
8. Security certificate (ISC2 or SSCP, CSSLP）"
高雄總公司-程控軟體工程師,沅珅科技有限公司,1~2人,"自動控制工程師
、軟體工程師
、其他資訊專業人員","月薪35,000~40,000元",不拘,高中,高雄市左營區,不拘,"公司是儀電工程承包商也是能源設備代理商
桃園台中台南都有分公司

工作項目為：
各大品牌PLC系統  GE .AB. SIEMSEN等 
1. 程控系統 PLC / DCS  程式編寫與設計  
2. 設備機台 PLC / HMI  程式編寫與設計
3. SQL Server 資料庫應用編寫設計
4. 石化廠區程序系統 / 電子廠專用設備 / 各種PLC / HMI  / DCS都有學習機會
5. 處理主管交辦事務
6. 基本迴路設計圖繪製

公司提供完整作業環境與專業教育訓練，所有工作技能皆可於本公司學習訓練"
資訊安全工程師 (SOAR),凱信資訊股份有限公司,2~3人,"網路安全分析師
、MIS／網管主管
、網路管理工程師",待遇面議,不拘,專科,台北市松山區,2年,"工作內容：
1. 為客戶提供 SOAR 平台之建置與維護
2. Playbook自動化腳本設計
3. 需有相關SOAR 1年以上經驗
4. 具 QRadar SOAR, Cortex XSOAR 經驗者優先錄取。

能在專案中碰到到各種駭客攻擊的情境，並透過工具找出入侵的管道、方法，從而學習到各種資安的知識與技能。
公司具一系列完整的教育訓練，從安裝、建置、顧問、分析及運維方法。

工作技能:
1. 懂 Linux / Windows
2. 熟網路及資安
3. 具相關資安證照者優先錄取"
Java系統分析師,尚程資訊有限公司,2~5人,"Internet程式設計師
、軟體工程師",待遇面議,系統架構規劃、網路程式設計、軟體程式設計,不拘,台北市信義區,3年,"1. 熟悉系統分析相關工作經驗
2. 負責與系統使用者訪談及分析客戶需求，將需求轉換成系統功能文件。
3. 撰寫需求訪談、系統分析、需求規格書等相關文件。
4. 需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
5. 評估並分析現行運作系統，進行現有流程調整與改良。
6. 設計、撰寫、維修及更新軟體，以控制硬體與電腦應用軟體之連接。
7. 維護資料庫管理系統，確保資料的安全性。
8. 規劃並撰寫系統需求、規格書及計畫書。
9. 協助導入專案系統，並提供內部員工系統操作的教育訓練，上線後之支援。
10. 編寫硬體及軟體結構操作與維修方法之說明手冊。
11. 追蹤產品使用狀況，提供操作面協助；針對客戶需求，與內部研擬解決方案。
12. 其他主管交辦事項。
13. 需具備良好的邏輯及理解能力，並善於溝通與耐性。
14. 積極進取，積極主動，能獨作業，能承受團隊壓力。

◆ 加分 Spring MVC, SpringBoot 若熟Spring cloud加分
◆ 加分 J2EE, JS, JQuery, Vue,Angular, React
◆ 加分 SQL語法經驗
◆ 加分 Java 程式設計與開發
◆ 加分 JDBC或Mybatis或JPA 相關 ORM (Object Relational Mapping)技術"
遊戲程式設計師,匯達科技有限公司,4人,"電玩程式設計師
、軟體工程師","月薪42,000~90,000元",軟體程式設計,大學,台北市大安區,3年,"1. 參與休閒博奕類遊戲開發相關工作。
2. 附作品優先考慮。
3. 對遊戲產業有強烈熱忱。
4. 負責認真，抗壓性強。
5. 學習求知欲強，主動積極。
6. 有遊戲開發設計經驗者佳。
7. Cocos2D遊戲開發經驗。
8. 網路程式開發經驗。"
總部功能 資安資訊中心-網頁全端工程師(AI平台),光寶科技股份有限公司,1人,"AI工程師
、全端工程師
、軟體工程師",待遇面議,不拘,碩士,台北市內湖區,3年,"1.負責開發和維護AI平台的前端和後端系統。
2.將與PM、AI工程師、UI/UX設計師團隊合作，確保平台的功能和性能達到業務需求。
3.使用React.js進行前端設計和開發，確保用戶界面友好且高效。
4.利用Python FastAPI開發後端API，定義資料規格與處理業務邏輯。
5.採用容器技術（如Docker, K8S）進行部署，提升系統的可擴展性和穩定性。"
【台北IS01】資安工程師(高級資安工程師),峰儀科技股份有限公司,1人,網路管理工程師,待遇面議,問題追蹤處理(Bug tracking)、測試計劃及測試報告書撰寫、安裝與維護網路安全系統、規劃與管理入侵防護系統（IPS）、規劃與管理防火牆、設計網路安全系統,專科,台北市內湖區,3年,"1.資安設備(Firewall、VPN、WAF、IPS、LTM)安裝建置與維護
2.熟悉Cisco FirePower、F5、Palo Alto、Fortigate等設備尤佳
3.具備3年(含)以上工作經驗"
